
8, 1131, 698
16, 1055, 1035
24, 1812, 1806
32, 2885, 2891
40, 4280, 4286
48, 5982, 6034
56, 7998, 8009
64, 10324, 10329
72, 12983, 12965
80, 16005, 15952
88, 19276, 19235
96, 22886, 22872
104, 27016, 26764
112, 31027, 30934
120, 35420, 35429
128, 40225, 40252
136, 45327, 73610
144, 50781, 76061
152, 56503, 56538
160, 62677, 62674
168, 68947, 69031
176, 75681, 81861
184, 139498, 82670
192, 89914, 89984
200, 97529, 97550
208, 105473, 105626
216, 113671, 113746
224, 122188, 122496
232, 186168, 131094
240, 140212, 140461
248, 187856, 149825
256, 164128, 280374
264, 241520, 169696
272, 256681, 182378
280, 332241, 244383
288, 229439, 202860
296, 213553, 213138
304, 224689, 284597
312, 289620, 249327
320, 248947, 350340
