
200, 160722, 128918
400, 355746, 503542
600, 687572, 1245534
800, 1090640, 1579396
1000, 1702718, 2922412
1200, 2444404, 3537102
1400, 3356694, 5120690
1600, 4480024, 12689586
1800, 6552406, 9254972
2000, 7784314, 10648396
2200, 8678252, 13229144
2400, 9981934, 22516786
2600, 11822028, 19801878
2800, 13706802, 22716612
3000, 16480454, 25569174
3200, 18427534, 43255204
3400, 20534294, 33032834
3600, 24781840, 36827718
3800, 25775602, 42587602
4000, 29482276, 65300788
4200, 32379454, 51363826
4400, 35371148, 68816628
4600, 38336674, 77582142
4800, 40388628, 98383346
5000, 47912142, 99177154
5200, 49913908, 109532804
5400, 52380010, 113732152
5600, 56293958, 132690350
5800, 59193592, 140624682
6000, 63476704, 146747648
