
200, 80426, 105120
400, 284368, 560560
600, 655396, 1067346
800, 1122486, 1550586
1000, 1735934, 2148684
1200, 2442818, 3083928
1400, 3632552, 4893690
1600, 4441798, 12390600
1800, 5610942, 9087042
2000, 7060808, 12066466
2200, 8428710, 13250952
2400, 10010722, 22000036
2600, 12980064, 18628658
2800, 14079544, 22458036
3000, 16013916, 24985454
3200, 17921146, 43851312
3400, 21845572, 34198402
3600, 23346906, 36637886
3800, 25592628, 42493968
4000, 28962396, 65676616
4200, 31761816, 51132198
4400, 34838308, 68274488
4600, 37374630, 79270668
4800, 40953718, 100731250
5000, 44239644, 100015480
5200, 47462678, 109771804
5400, 51817400, 112247698
5600, 55495796, 133365384
5800, 60634128, 140292690
6000, 64531470, 144838526
