
200, 92664, 169468
400, 308416, 1038924
600, 646308, 1575022
800, 1406574, 2592702
1000, 1358626, 3468928
1200, 1794284, 7817594
1400, 2664976, 10064926
1600, 3609854, 14366628
1800, 4566012, 11474106
2000, 5590080, 17300396
2200, 6841646, 18788456
2400, 9329528, 30681890
2600, 9763750, 25238940
2800, 11174650, 41380094
3000, 12981304, 33908756
3200, 14685994, 61492808
3400, 17866412, 44819096
3600, 18345756, 66449162
3800, 20554596, 58634850
4000, 24058502, 88364116
4200, 25092644, 78817926
4400, 28307750, 113429452
4600, 31541868, 106387524
4800, 33342262, 136056476
5000, 36186556, 133324294
5200, 39353636, 148184084
5400, 42673006, 150830318
5600, 45793044, 192087878
5800, 47632708, 199508126
6000, 53686084, 202508734
