
200, 117668, 135016
400, 413668, 607510
600, 840272, 1144538
800, 1420368, 2190398
1000, 1952876, 2925272
1200, 2622090, 5912322
1400, 3598208, 7422996
1600, 4721780, 14939104
1800, 5638616, 12033810
2000, 7260228, 17179870
2200, 8786796, 21051398
2400, 10417544, 31637684
2600, 12958016, 28219974
2800, 15135346, 41970944
3000, 16219180, 35128486
3200, 18498262, 62529120
3400, 20902656, 48958316
3600, 23144798, 65301538
3800, 27074708, 63804134
4000, 30386988, 87265660
4200, 31906852, 78786008
4400, 36548912, 112404308
4600, 38808948, 108333370
4800, 40619962, 134678356
5000, 46412436, 132310462
5200, 48733962, 146684544
5400, 53277356, 149221786
5600, 57783594, 178619216
5800, 60383550, 190022218
6000, 64795746, 196872938
