
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
64, 14.545312, 11.464062, 12.642188, 19.982812, 21.115625, 21.070312
128, 5.822656, 4.463281, 8.405469, 5.845312, 7.317969, 5.981250
192, 4.727604, 3.081250, 6.963021, 4.229167, 5.603646, 4.485937
256, 4.100781, 2.662109, 6.434375, 3.613672, 4.735156, 3.489062
320, 3.788125, 2.184063, 6.080937, 3.253437, 4.340937, 2.972500
384, 3.579687, 1.963542, 5.905729, 3.035937, 4.078125, 2.688542
448, 3.417857, 1.780134, 5.741741, 3.100670, 3.929241, 2.453348
512, 3.313477, 1.653906, 5.607422, 2.735742, 3.806250, 2.322266
576, 3.217187, 1.590972, 5.528125, 2.628125, 3.710590, 2.225347
640, 3.135625, 1.499844, 5.442031, 2.564687, 3.625000, 2.125156
704, 3.089489, 1.437642, 5.383949, 2.521023, 3.567330, 2.039062
768, 3.032161, 1.385807, 5.327995, 2.443099, 3.511719, 1.989974
