size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
64, 16.221875, 10.965625, 11.645312, 10.875000, 15.134375, 74.810937, 20.435937, 16.267187
128, 6.796875, 5.301563, 5.029687, 4.916406, 5.641406, 5.913281, 6.525000, 5.686719
192, 5.120312, 3.760938, 3.685417, 4.878646, 3.911979, 4.123437, 4.697396, 4.183854
256, 4.383984, 3.126562, 3.115234, 3.205859, 3.319141, 3.511719, 3.874219, 3.432422
320, 4.050937, 2.709688, 2.700625, 2.428750, 2.963437, 3.017812, 3.779062, 3.090313
384, 3.844010, 2.514844, 2.492188, 2.137240, 2.673437, 2.711198, 3.368229, 2.832031
448, 4.000446, 2.485714, 2.349777, 1.935491, 2.466295, 2.518080, 3.113616, 2.964732
512, 3.755273, 2.197656, 2.214648, 1.812500, 2.344922, 2.333594, 2.650781, 2.452539
576, 3.433681, 2.134722, 2.099479, 1.772222, 2.225347, 2.220312, 2.482118, 2.341146
640, 3.575156, 2.039062, 2.020937, 1.626719, 2.147812, 2.478594, 2.632656, 2.229375
