
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
64, 12.551562, 9.742188, 13.185937, 18.759375, 20.707812, 21.478125
128, 7.476562, 4.327344, 8.835938, 5.800000, 7.793750, 6.298437
192, 6.358854, 3.081250, 7.416146, 4.501042, 5.558333, 4.455729
256, 5.811328, 2.888672, 6.887500, 3.806250, 4.871094, 3.613672
320, 5.455625, 2.165938, 6.534063, 3.434687, 4.567500, 3.162813
384, 5.256250, 1.948437, 6.305990, 3.156771, 4.334896, 2.862240
448, 5.075000, 1.780134, 6.149554, 2.977679, 4.142857, 2.666964
512, 4.933398, 1.687891, 6.037891, 2.849023, 4.010156, 2.480859
576, 4.873611, 1.596007, 5.940972, 2.819444, 3.937153, 2.351215
640, 4.794062, 1.495313, 5.845313, 2.664375, 3.828906, 2.247500
704, 4.745455, 1.437642, 5.795881, 2.599290, 3.781534, 2.183239
768, 4.704948, 1.397135, 5.762240, 2.545052, 3.719401, 2.114583
