size, Test 1, Test 2, Test 3, Test Add 128, Test Add 256, Test Mul 128, Test Mul 256
32, 221.812500, 78.437500, 81.312500, 63.625000, 69.000000, 92.687500, 68.250000
64, 83.593750, 46.750000, 42.906250, 32.812500, 33.343750, 33.593750, 30.875000
96, 70.583333, 33.458333, 33.104167, 21.125000, 22.812500, 21.645833, 21.166667
128, 61.750000, 28.781250, 29.296875, 15.968750, 16.750000, 16.718750, 15.906250
160, 58.912500, 25.975000, 26.375000, 13.125000, 13.462500, 13.462500, 13.037500
192, 57.020833, 24.093750, 24.104167, 11.239583, 11.479167, 11.541667, 11.125000
224, 55.678571, 22.758929, 22.767857, 9.892857, 10.062500, 10.142857, 9.562500
256, 54.671875, 21.750000, 21.757812, 8.898438, 9.007812, 9.125000, 8.570312
288, 53.881944, 20.972222, 20.979167, 8.118056, 8.173611, 8.312500, 7.784722
320, 53.256250, 20.343750, 20.350000, 7.487500, 7.512500, 7.675000, 7.156250
352, 52.732955, 19.829545, 19.835227, 6.977273, 6.977273, 7.142045, 6.653409
384, 52.307292, 19.406250, 19.411458, 6.557292, 6.520833, 6.708333, 6.229167
416, 51.947115, 19.048077, 19.052885, 6.197115, 6.139423, 6.336538, 5.870192
448, 51.638393, 18.741071, 18.741071, 5.888393, 5.816964, 6.017857, 5.562500
480, 51.362500, 18.470833, 18.475000, 5.616667, 5.533333, 5.741667, 5.300000
512, 51.128906, 18.238281, 18.238281, 5.386719, 5.285156, 5.500000, 5.062500
544, 50.922794, 18.029412, 18.033088, 5.180147, 5.066176, 5.286765, 4.860294
576, 50.739583, 17.843750, 17.847222, 4.993056, 4.871528, 5.100694, 4.673611
608, 50.569079, 17.677632, 17.680921, 4.832237, 4.697368, 4.927632, 4.509868
640, 50.421875, 17.528125, 17.534375, 4.690625, 4.550000, 4.781250, 4.362500
