
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
64, 13.910937, 9.742188, 14.046875, 19.303125, 25.148438, 20.526563
128, 6.003906, 4.395313, 6.253125, 5.460156, 6.275781, 9.470313
192, 4.621875, 3.081250, 4.999479, 3.821354, 4.229167, 4.198958
256, 4.100781, 2.684766, 4.134766, 2.866016, 3.523047, 3.398438
320, 3.760937, 2.165938, 3.797187, 2.510312, 3.035938, 2.727812
384, 3.587240, 1.925781, 3.557031, 2.250521, 2.786719, 2.409115
448, 3.430804, 1.786607, 3.398438, 2.039062, 2.589286, 2.136161
512, 3.302148, 1.653906, 3.279492, 1.897461, 2.463867, 1.988086
576, 3.197049, 1.585938, 3.176910, 1.787326, 2.326042, 1.812500
640, 3.135625, 1.486250, 3.081250, 1.708281, 2.247500, 3.960312
704, 3.064773, 1.437642, 3.035937, 1.618892, 2.179119, 1.606534
768, 3.024609, 1.385807, 2.971745, 1.567057, 2.122135, 1.793620
