size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
64, 11.735938, 9.923438, 10.512500, 10.150000, 16.901563, 56.051562, 20.934375, 17.082812
128, 5.867969, 4.780469, 4.712500, 4.576562, 5.482812, 6.117188, 6.185156, 5.800000
192, 4.772917, 3.534375, 3.458854, 3.156771, 3.806250, 4.047917, 4.697396, 4.183854
256, 4.157422, 2.888672, 2.900000, 2.922656, 3.251172, 3.330469, 3.828906, 3.455078
320, 3.824375, 2.582813, 2.582813, 2.256563, 2.918125, 2.900000, 3.280625, 2.990625
384, 3.594792, 2.348698, 2.310938, 1.971094, 2.643229, 2.605469, 2.922656, 2.726302
448, 3.450223, 2.213839, 2.369196, 1.825446, 2.414509, 2.485714, 2.725223, 2.440402
512, 3.324805, 2.073047, 2.073047, 1.687891, 2.259961, 2.271289, 2.531836, 2.322266
576, 3.227257, 1.993750, 1.963542, 1.631250, 2.180035, 2.180035, 2.376389, 2.195139
640, 3.171875, 1.930312, 1.925781, 1.536094, 2.097969, 2.057187, 2.256563, 2.093437
