
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
64, 15.225000, 9.878125, 13.548438, 19.393750, 19.439062, 23.018750
128, 7.453906, 4.508594, 6.525000, 5.618750, 6.910156, 13.185937
192, 6.343750, 3.111458, 5.014583, 4.501042, 4.470833, 4.848438
256, 5.833984, 2.650781, 4.383984, 3.149219, 3.658984, 3.896875
320, 5.464688, 2.184063, 4.041875, 2.745937, 3.190000, 3.171875
384, 5.233594, 1.940885, 3.798698, 2.378906, 2.937760, 2.711198
448, 5.081473, 1.806027, 3.637946, 2.220312, 2.744643, 2.446875
512, 4.973047, 1.693555, 3.506055, 2.039062, 2.588477, 2.214648
576, 4.878646, 1.596007, 3.413542, 1.928299, 2.461979, 2.054167
640, 4.812187, 1.531562, 3.339531, 1.835156, 2.369844, 4.205000
704, 4.737216, 1.450000, 3.266619, 1.746591, 2.298580, 1.800142
768, 4.693620, 1.393359, 3.205859, 1.687891, 2.235417, 1.706771
