
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
64, 11.010937, 10.150000, 14.137500, 18.940625, 19.257812, 22.520312
128, 4.553906, 4.327344, 5.958594, 5.437500, 6.117188, 11.577344
192, 3.353125, 2.960417, 4.440625, 3.851562, 4.153646, 4.334896
256, 2.752734, 2.548828, 3.874219, 3.035937, 3.466406, 3.409766
320, 2.365312, 1.975625, 3.552500, 2.419687, 2.999687, 2.818437
384, 2.152344, 1.669010, 3.300260, 2.114583, 2.688542, 2.454427
448, 2.000223, 1.547098, 3.139509, 1.935491, 2.518080, 2.168527
512, 1.874805, 1.427344, 3.041602, 1.806836, 2.441211, 1.976758
576, 1.772222, 1.374479, 3.025868, 1.711806, 2.250521, 1.822569
640, 1.712813, 1.264219, 2.877344, 1.626719, 2.202187, 3.806250
704, 1.651847, 1.202841, 2.797017, 1.511790, 2.076136, 1.894886
768, 1.585938, 1.117708, 2.748958, 1.480208, 2.023958, 1.763411
