size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
64, 14.137500, 10.376563, 10.421875, 10.104687, 16.131250, 58.725000, 22.067187, 18.623437
128, 4.735156, 4.848438, 4.825781, 4.553906, 5.596094, 6.275781, 6.411719, 5.845312
192, 3.594792, 3.458854, 3.519271, 3.398438, 3.806250, 4.183854, 4.350000, 4.032812
256, 3.001953, 2.888672, 2.866016, 2.945312, 3.171875, 3.319141, 3.625000, 3.432422
320, 2.736875, 2.537500, 2.582813, 2.383437, 2.827500, 2.972500, 3.063125, 2.936250
384, 2.439323, 2.341146, 2.280729, 2.159896, 2.529948, 2.748958, 2.786719, 2.650781
448, 2.259152, 2.155580, 2.129688, 2.019643, 2.375670, 2.556920, 2.576339, 2.556920
512, 2.197656, 2.050391, 2.022070, 1.874805, 2.225977, 2.322266, 2.407227, 2.276953
576, 2.039062, 1.923264, 1.943403, 1.817535, 3.901910, 2.260590, 2.346181, 2.154861
640, 1.980156, 1.866875, 1.830625, 1.699219, 2.070781, 2.156875, 2.188594, 2.079844
