
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
64, 14.046875, 9.742188, 14.364062, 68.285938, 17.807813, 21.704687
128, 5.777344, 4.304688, 6.842187, 6.978125, 6.774219, 11.667969
192, 4.727604, 3.051042, 5.377083, 4.697396, 4.833333, 4.410417
256, 4.089453, 2.696094, 4.848438, 3.806250, 4.021484, 3.568359
320, 3.797187, 2.165938, 4.413437, 3.335000, 3.670313, 3.081250
384, 3.572135, 1.955990, 4.176302, 2.990625, 3.368229, 2.862240
448, 3.391964, 1.793080, 4.472991, 2.796429, 3.178348, 2.576339
512, 3.313477, 1.670898, 3.896875, 2.588477, 3.030273, 2.384570
576, 3.186979, 1.560764, 3.791146, 2.517361, 2.955382, 2.280729
640, 3.131094, 1.495313, 3.720156, 2.360781, 2.832031, 4.685313
704, 3.085369, 1.412926, 3.641477, 2.273864, 2.784659, 2.137926
768, 3.107682, 1.397135, 3.602344, 2.175000, 2.726302, 2.280729
