
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
256, 4.712500, 2.922656, 6.581641, 5.437500, 7.216016, 6.366406
512, 3.228516, 1.721875, 5.545117, 2.735742, 3.964844, 2.361914
768, 2.952865, 1.359375, 5.176953, 2.526172, 3.424870, 1.974870
1024, 2.817871, 1.206445, 5.035352, 2.257129, 3.276660, 1.775684
1280, 2.734609, 1.132812, 5.007031, 2.161406, 3.180937, 1.685625
1536, 2.680990, 1.095052, 4.908854, 2.101367, 3.119010, 1.618034
1792, 2.644308, 1.034096, 4.871094, 2.063337, 3.081250, 1.572991
2048, 2.626709, 1.009619, 4.845605, 2.033398, 3.048682, 1.536377
2304, 2.597917, 0.986806, 4.820747, 2.011372, 3.032161, 1.502865
2560, 2.581680, 0.966289, 4.799727, 1.985820, 3.005352, 1.486250
2816, 2.566335, 0.958771, 4.788707, 1.976243, 2.991655, 1.469567
3072, 2.558268, 0.949674, 4.784245, 1.963542, 2.984017, 1.458496
3328, 2.553185, 0.943720, 4.779597, 1.956280, 2.970583, 1.450000
3584, 2.547210, 0.936189, 4.773996, 1.957338, 2.970396, 1.455664
3840, 2.548828, 0.933438, 4.769141, 1.954479, 2.982318, 1.448490
