size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
24, 28.637500, 24.770833, 25.979167, 25.012500, 35.162500, 139.079167, 53.891667, 40.479167
48, 11.297917, 11.720833, 10.572917, 10.210417, 11.539583, 12.808333, 14.016667, 11.479167
72, 8.297222, 7.370833, 7.572222, 6.847222, 7.934722, 7.934722, 9.505556, 8.176389
96, 6.766667, 5.709375, 5.588542, 5.830208, 6.132292, 6.494792, 7.098958, 6.373958
120, 5.969167, 4.833333, 4.640000, 4.398333, 5.147500, 5.268333, 7.056667, 5.316667
144, 5.316667, 4.068056, 4.068056, 3.745833, 4.490972, 4.571528, 6.102083, 4.692361
168, 4.833333, 3.745833, 3.659524, 3.331548, 4.056548, 4.091071, 4.764286, 4.177381
192, 4.606771, 3.458854, 3.368229, 3.051042, 3.715625, 3.851562, 4.334896, 3.836458
216, 4.363426, 3.155093, 3.141667, 2.873148, 3.423611, 3.463889, 3.987500, 3.544444
240, 4.362083, 2.972500, 2.960417, 2.597917, 3.226250, 3.190000, 3.697500, 3.335000
264, 3.998485, 2.790152, 2.790152, 2.438636, 3.042803, 3.108712, 3.954545, 3.152652
288, 3.876736, 2.708681, 2.658333, 2.477083, 2.889931, 2.839583, 3.725694, 3.020833
312, 3.755128, 2.537500, 2.714103, 2.202885, 2.741987, 2.779167, 3.504167, 2.890705
336, 3.668155, 2.485714, 2.442560, 2.140476, 2.641071, 2.632440, 3.374702, 2.753274
360, 3.576667, 2.384444, 2.360278, 2.021944, 2.481111, 2.561667, 3.214167, 2.634167
