
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
256, 6.502344, 2.900000, 6.989453, 5.550781, 7.589844, 8.303516
512, 4.854102, 1.733203, 5.935937, 2.837695, 4.140430, 2.497852
768, 4.572786, 1.366927, 5.596094, 2.511068, 3.628776, 2.114583
1024, 4.434961, 1.223437, 5.451660, 2.310938, 3.474902, 1.897461
1280, 4.350000, 1.137344, 5.376328, 2.227109, 3.384844, 1.785312
1536, 4.306576, 1.106380, 5.322331, 2.199544, 3.324805, 1.718099
1792, 4.260993, 1.048661, 5.277288, 2.128069, 3.291629, 1.673326
2048, 4.232471, 1.022363, 5.268994, 2.099951, 3.259668, 1.641162
2304, 4.221615, 0.995616, 5.236111, 2.080599, 3.241102, 1.608594
2560, 4.199336, 0.984414, 5.218867, 2.057187, 3.213789, 1.591602
2816, 4.190376, 0.972159, 5.206818, 2.039062, 3.206889, 1.573580
3072, 4.177246, 0.955339, 5.194889, 2.029622, 3.182259, 1.556673
3328, 4.169621, 0.948077, 5.189153, 2.021635, 3.175361, 1.559796
3584, 4.167941, 0.942662, 5.185854, 2.020452, 3.162165, 1.546289
3840, 4.160443, 0.940234, 5.183750, 2.009609, 3.168854, 1.539870
