
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
256, 4.633203, 2.911328, 4.825781, 5.675391, 4.587891, 7.080078
512, 3.268164, 1.716211, 3.262500, 1.948438, 2.503516, 2.010742
768, 2.975521, 1.366927, 2.888672, 1.567057, 2.099479, 1.555729
1024, 2.832031, 1.223437, 2.747070, 1.379199, 1.911621, 1.280078
1280, 2.750469, 1.144141, 2.662109, 1.282344, 1.803438, 1.166797
1536, 2.697982, 1.089388, 2.607357, 1.210221, 1.738867, 1.076172
1792, 2.655636, 1.048661, 2.565011, 1.170033, 1.691127, 1.000112
2048, 2.628125, 1.016699, 2.538916, 1.144141, 1.658154, 0.960059
2304, 2.604210, 0.993099, 2.509809, 1.116450, 1.626215, 0.922613
2560, 2.587344, 0.975352, 2.491055, 1.093164, 1.606328, 0.898320
2816, 2.573544, 0.962891, 2.475710, 1.076172, 1.590057, 0.873295
3072, 2.561100, 0.945898, 2.461979, 1.066732, 1.577441, 0.859049
3328, 2.549700, 0.935877, 2.452975, 1.052644, 1.565024, 0.835667
3584, 2.539118, 0.927288, 2.442020, 1.042997, 1.551953, 0.826144
3840, 2.532214, 0.919844, 2.434792, 1.033125, 1.543646, 0.830729
