size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
24, 31.175000, 25.012500, 25.375000, 24.650000, 35.525000, 137.145833, 51.112500, 43.741667
48, 11.358333, 10.814583, 10.693750, 10.452083, 12.204167, 13.775000, 15.285417, 12.989583
72, 8.256944, 7.088889, 7.250000, 6.806944, 7.733333, 8.981944, 10.190278, 9.143056
96, 6.706250, 5.558333, 5.558333, 5.739583, 6.373958, 6.585417, 7.884375, 6.947917
120, 5.872500, 4.664167, 4.736667, 4.398333, 5.413333, 5.558333, 6.815000, 5.775833
144, 5.256250, 4.168750, 4.309722, 3.846528, 4.692361, 4.712500, 5.820139, 4.833333
168, 4.885119, 3.763095, 3.676786, 3.400595, 4.091071, 4.280952, 5.213095, 4.470833
192, 4.591667, 3.368229, 3.368229, 3.081250, 3.670312, 3.896875, 4.667187, 3.972396
216, 4.336574, 3.155093, 3.155093, 2.873148, 3.490741, 3.517593, 4.215741, 3.665278
240, 4.144583, 2.972500, 2.936250, 2.610000, 3.226250, 3.298750, 4.035833, 3.504167
264, 4.009470, 2.834091, 2.801136, 2.427652, 3.064773, 3.119697, 3.778788, 3.185606
288, 3.886806, 2.678472, 2.638194, 2.295833, 3.000694, 3.020833, 3.484028, 3.121528
312, 3.755128, 2.565385, 2.546795, 2.212179, 2.853526, 2.881410, 3.290385, 2.955769
336, 3.676786, 2.451190, 2.451190, 2.140476, 2.701488, 2.675595, 3.202083, 2.779167
360, 3.568611, 2.376389, 2.400556, 2.005833, 2.585833, 2.634167, 3.077222, 2.730833
