
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
256, 6.139844, 3.013281, 5.131641, 5.210938, 6.366406, 6.830859
512, 4.837109, 1.716211, 3.409766, 2.010742, 2.667773, 2.203320
768, 4.569010, 1.378255, 3.103906, 1.631250, 2.186328, 1.657682
1024, 4.429297, 1.223437, 2.967969, 1.464160, 2.024902, 1.413184
1280, 4.350000, 1.139609, 2.877344, 1.350312, 1.921250, 1.275547
1536, 4.300911, 1.093164, 2.820703, 1.289518, 1.850260, 1.174349
1792, 4.264230, 1.043806, 2.777009, 1.234766, 1.801172, 1.100446
2048, 4.235303, 1.012451, 2.745654, 1.220605, 1.767187, 1.052100
2304, 4.214062, 0.990582, 2.718750, 1.165538, 1.739497, 1.009462
2560, 4.195938, 0.970820, 2.699492, 1.146406, 1.717344, 0.977617
2816, 4.181108, 0.960831, 2.682706, 1.124574, 1.697159, 0.952592
3072, 4.186686, 0.944010, 2.670605, 1.108268, 1.684115, 0.927962
3328, 4.158293, 0.934135, 2.659495, 1.093600, 1.671334, 0.907121
3584, 4.149330, 0.924051, 2.649972, 1.084263, 1.658761, 0.893304
3840, 4.143828, 0.916823, 2.639453, 1.072396, 1.646354, 0.877552
