
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
256, 3.545703, 2.832031, 4.769141, 5.426172, 5.947266, 7.646484
512, 1.886133, 1.517969, 3.035937, 1.931445, 2.492188, 2.135352
768, 1.608594, 1.268750, 2.680990, 1.465104, 2.020182, 1.521745
1024, 1.447168, 0.968555, 2.554492, 1.277246, 1.829492, 1.268750
1280, 1.366172, 0.892656, 2.451406, 1.196250, 1.694687, 1.150937
1536, 1.293294, 0.842057, 2.403451, 1.130924, 1.635026, 1.057292
1792, 1.268750, 0.789732, 2.359487, 1.092355, 1.587556, 0.992020
2048, 1.241846, 0.756152, 2.326514, 1.057764, 1.556201, 0.947314
2304, 1.204557, 0.727517, 2.305903, 1.081207, 1.526780, 0.911285
2560, 1.197383, 0.708008, 2.290547, 1.016133, 1.506641, 0.881328
2816, 1.180185, 0.725000, 2.267685, 0.998935, 1.488104, 0.851669
3072, 1.171517, 0.682520, 2.261849, 0.982715, 1.474544, 0.839225
3328, 1.160697, 0.669231, 2.248197, 0.970733, 1.461328, 0.822596
3584, 1.155469, 0.657031, 2.238923, 0.962081, 1.450000, 0.807533
3840, 1.141875, 0.655521, 2.231641, 0.953828, 1.441693, 0.794479
