size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
24, 27.308333, 24.891667, 25.133333, 25.495833, 36.129167, 121.075000, 39.391667, 36.612500
48, 10.995833, 10.391667, 10.995833, 10.452083, 12.445833, 14.137500, 14.802083, 13.231250
72, 7.209722, 7.250000, 7.330556, 6.887500, 7.693056, 9.263889, 9.868056, 8.458333
96, 5.679167, 5.558333, 5.528125, 5.890625, 6.132292, 7.280208, 7.612500, 6.555208
120, 4.881667, 4.978333, 4.615833, 4.470833, 5.123333, 5.630833, 6.186667, 5.582500
144, 4.168750, 4.108333, 4.068056, 3.927083, 4.430556, 4.752778, 5.457639, 4.873611
168, 3.797619, 3.694048, 3.659524, 3.521429, 4.004762, 4.298214, 4.833333, 4.332738
192, 3.489062, 3.368229, 3.322917, 3.186979, 3.700521, 3.957292, 4.380208, 3.972396
216, 3.289352, 3.114815, 3.168519, 3.074537, 3.423611, 3.705556, 4.014352, 3.651852
240, 3.057083, 3.347083, 2.887917, 2.742917, 3.190000, 3.419583, 3.757917, 3.335000
264, 2.867045, 3.009848, 2.702273, 2.570455, 3.009848, 3.163636, 3.526136, 3.207576
288, 2.708681, 2.597917, 2.607986, 2.426736, 2.889931, 3.151736, 3.252431, 2.990625
312, 2.583974, 2.658333, 2.472436, 2.370192, 2.779167, 2.955769, 3.067308, 2.844231
336, 2.528869, 2.839583, 2.390774, 2.304464, 2.658333, 2.900000, 2.925893, 2.727381
360, 2.416667, 2.320000, 2.287778, 2.183056, 2.569722, 2.827500, 2.795278, 2.666389
