
size, c4, c6_5,  c8,  c8_4, c8_2, c8_8
256, 4.587891, 2.832031, 5.686719, 14.975781, 5.086328, 7.487891
512, 3.205859, 1.710547, 3.851562, 2.673437, 3.103906, 2.497852
768, 2.952865, 1.348047, 3.496615, 2.167448, 2.669661, 1.982422
1024, 2.820703, 1.217773, 3.341797, 1.939941, 2.503516, 1.775684
1280, 2.734609, 1.135078, 3.264766, 1.844219, 2.403828, 1.669766
1536, 2.680990, 1.121484, 3.209635, 1.753971, 2.341146, 1.591602
1792, 2.644308, 1.037333, 3.165402, 1.720257, 2.301228, 1.535770
2048, 2.619629, 1.009619, 3.136475, 1.660986, 2.259961, 1.499561
2304, 2.594141, 0.988064, 3.112717, 1.628733, 2.255556, 1.467622
2560, 2.579414, 0.970820, 3.093711, 1.597266, 2.212383, 1.443203
2816, 2.566335, 0.961861, 3.079190, 1.580788, 2.195597, 1.413956
3072, 2.554492, 0.943066, 3.068978, 1.560449, 2.181608, 1.399023
3328, 2.540986, 0.932392, 3.058594, 1.552825, 2.168900, 1.382903
3584, 2.534263, 0.923242, 3.048075, 1.536579, 2.160435, 1.377176
3840, 2.528437, 0.915312, 3.040469, 1.528542, 2.152344, 1.363906
