size, c4, c6 5,  c8,  c8 2, c8 4, c8 8
64, 11.464062, 9.742188, 14.001563, 12.642188, 13.231250, 12.642188
128, 5.664062, 4.168750, 8.654687, 4.576562, 4.667187, 5.278906
192, 4.606771, 2.975521, 6.041667, 2.945312, 3.051042, 3.398438
256, 4.021484, 2.594141, 4.848438, 2.310938, 2.344922, 2.514844
320, 3.679375, 2.129688, 74.910625, 1.903125, 1.857813, 2.011875
384, 3.466406, 2.023958, 1.993750, 1.623698, 1.563281, 1.699219
448, 3.437277, 1.734821, 1.780134, 1.462946, 1.398214, 1.475893
512, 3.205859, 1.625586, 1.659570, 1.314062, 1.240430, 1.308398
576, 3.131597, 1.545660, 1.606076, 1.188194, 1.127778, 1.203299
640, 3.063125, 1.450000, 1.454531, 1.132812, 1.042188, 1.092031
704, 2.986506, 1.404687, 1.371733, 1.029830, 0.968040, 1.005114
768, 2.952865, 1.351823, 1.306510, 0.977995, 0.906250, 0.944010
832, 2.910457, 1.359375, 1.265264, 0.930649, 0.860937, 0.902764
896, 2.870871, 1.314062, 1.229911, 0.958036, 0.812388, 0.844754
960, 2.839583, 1.274792, 1.196250, 0.863958, 0.767292, 0.809583
1024, 2.815039, 1.246094, 1.152637, 0.815625, 0.739160, 0.764648
1088, 2.788051, 1.226103, 1.122151, 0.791636, 0.714338, 0.735662
1152, 2.776649, 1.203299, 1.110156, 0.772830, 0.677170, 0.709896
1216, 2.754523, 1.187664, 1.082730, 0.744079, 0.651069, 0.679688
1280, 2.739141, 1.166797, 1.058047, 0.725000, 0.629844, 0.659297
1344, 2.725223, 1.147917, 1.083185, 0.709896, 0.612798, 0.630060
1408, 2.712571, 1.134872, 1.027770, 0.694105, 0.632315, 0.624077
1472, 2.697079, 1.120992, 1.016576, 0.679688, 0.583152, 0.602853
1536, 2.686654, 1.112044, 1.006315, 0.660807, 0.566406, 0.581510
1600, 2.673437, 1.094750, 0.989625, 0.648875, 0.552813, 0.574562
1664, 2.668209, 1.106671, 0.974219, 0.636118, 0.540264, 0.561178
1728, 2.653299, 1.080787, 0.961632, 0.629340, 0.528646, 0.548785
1792, 2.649163, 1.066462, 0.953181, 0.616574, 0.519475, 0.535658
1856, 2.639062, 1.073438, 0.940625, 0.604687, 0.504687, 0.528125
1920, 2.634167, 1.049740, 0.937969, 0.599635, 0.499948, 0.519583
1984, 2.626663, 1.046573, 0.929637, 0.586139, 0.489667, 0.510131
2048, 2.618213, 1.040771, 0.923242, 0.584814, 0.481445, 0.497021
2112, 2.610275, 1.035322, 0.915862, 0.573958, 0.475095, 0.491572
2176, 2.609467, 1.036857, 0.906250, 0.565074, 0.467785, 0.482445
2240, 2.603527, 1.022768, 0.903661, 0.563170, 0.464777, 0.473839
2304, 2.596658, 1.017014, 0.891146, 0.555078, 0.454384, 0.472005
2368, 2.590160, 1.014020, 0.889105, 0.546199, 0.448226, 0.461698
2432, 2.588775, 1.011184, 0.884786, 0.544942, 0.437623, 0.449548
2496, 2.587460, 11.028365, 0.880689, 0.539103, 0.440345, 0.450801
2560, 2.580547, 0.973086, 0.873398, 0.536953, 0.431602, 0.445195
2624, 2.577287, 0.970351, 0.867569, 0.526067, 0.427706, 0.437652
2688, 2.568787, 0.963430, 0.864174, 0.525409, 0.417522, 0.430469
2752, 2.570167, 0.961047, 0.856722, 0.519513, 0.418350, 0.426781
2816, 2.566335, 0.955682, 0.854759, 0.516974, 0.411932, 0.423260
2880, 2.561667, 0.947535, 0.850868, 0.512535, 0.410833, 0.418889
2944, 2.560156, 0.947622, 0.845177, 0.506318, 0.404857, 0.416678
3008, 2.560638, 0.946742, 0.858045, 0.506150, 0.401064, 0.415525
3072, 2.556380, 0.947786, 0.846777, 0.506934, 0.401204, 0.407812
3136, 2.552296, 0.946939, 0.842443, 0.499362, 0.395791, 0.410587
3200, 2.552000, 0.940687, 0.838281, 0.494812, 0.402375, 0.406906
