size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
16, 45.383287, 36.161981, 37.246841, 37.246841, 53.519732, 41.405469, 42.671138, 50.265154
32, 16.544106, 15.278437, 15.820867, 16.001677, 33.540238, 19.889090, 19.346660, 23.776503
48, 11.029404, 10.607515, 9.944545, 10.969134, 22.239619, 13.319663, 12.053994, 14.645602
64, 10.622582, 7.865231, 7.865231, 7.639219, 17.041334, 8.181648, 9.130900, 11.345822
80, 7.630178, 6.509157, 6.436833, 6.328347, 13.958525, 6.581481, 7.087748, 10.016869
96, 6.750237, 5.605107, 5.514702, 6.087267, 6.026997, 5.605107, 5.966727, 7.443341
112, 6.121707, 5.011017, 5.036847, 4.752718, 5.217657, 4.881867, 5.011017, 6.741627
128, 5.695512, 4.588051, 5.266089, 4.203830, 4.949671, 4.316837, 4.520248, 5.605107
144, 5.303757, 4.178718, 4.138538, 3.897458, 4.178718, 3.877368, 4.158628, 5.343937
160, 5.062677, 3.887413, 3.815089, 3.598117, 4.050142, 3.453469, 3.670441, 4.610653
