size, c4, c6_5,  c8,  c8_2, c8_4, c8_8
64, 13.050000, 10.150000, 14.273438, 12.868750, 14.273438, 12.732812
128, 7.340625, 4.395313, 9.198437, 4.780469, 4.712500, 5.414844
192, 6.162500, 3.141667, 6.676042, 3.171875, 3.066146, 3.428646
256, 5.652734, 2.673437, 5.403516, 2.526172, 2.322266, 2.435547
320, 5.292500, 2.211250, 4.658125, 2.129688, 1.930312, 2.039062
384, 5.112760, 1.993750, 4.183854, 1.872917, 1.646354, 1.759635
448, 4.945536, 1.818973, 3.832143, 1.670089, 1.462946, 1.514732
512, 4.842773, 1.670898, 3.562695, 1.546289, 1.314062, 1.331055
576, 4.747743, 1.606076, 3.358160, 1.434896, 1.183160, 1.198264
640, 4.658125, 1.508906, 3.194531, 1.341250, 1.114688, 1.096562
704, 4.617756, 1.458239, 34.890625, 1.281108, 1.033949, 1.009233
768, 4.565234, 1.400911, 1.816276, 1.212109, 0.966667, 0.925130
832, 4.534736, 1.355889, 1.749760, 1.167668, 0.913221, 0.871394
896, 4.489174, 1.339955, 1.699219, 1.168415, 0.864174, 0.815625
960, 4.470833, 1.292917, 1.655417, 1.084479, 0.821667, 0.894167
1024, 4.437793, 1.274414, 1.625586, 1.059180, 0.790137, 0.739160
1088, 4.403309, 1.239430, 1.588603, 1.023529, 0.767647, 0.701011
1152, 4.395312, 1.210851, 1.573351, 1.001910, 0.735069, 0.674653
1216, 4.371464, 1.206743, 1.552549, 0.977796, 0.717845, 0.646299
1280, 4.356797, 1.175859, 1.520234, 0.962891, 0.693281, 0.618516
1344, 4.334896, 1.137128, 1.536310, 0.973140, 0.677530, 0.595536
1408, 4.331463, 1.114276, 1.493253, 0.924787, 0.654972, 0.572585
1472, 4.312568, 1.101291, 1.465761, 0.906250, 0.644226, 0.557541
1536, 4.306576, 1.093164, 1.455664, 0.900586, 0.623047, 0.541862
1600, 4.292000, 1.074812, 1.451812, 0.884500, 0.614437, 0.523813
1664, 4.282031, 1.063101, 1.432572, 0.869651, 0.596034, 0.503666
1728, 4.272801, 1.053935, 1.421470, 0.855903, 0.580671, 0.491725
1792, 4.267467, 1.051897, 1.414397, 0.844754, 0.574498, 0.491964
1856, 4.253125, 1.073438, 1.406250, 0.832813, 0.565625, 0.465625
1920, 4.251823, 1.028594, 1.392604, 0.832240, 0.560365, 0.462187
1984, 4.252067, 1.021724, 1.385685, 0.821472, 0.546673, 0.447278
2048, 4.236719, 15.012598, 1.382031, 0.811377, 0.538086, 0.438965
2112, 4.230540, 1.054545, 1.371733, 0.801894, 0.528646, 0.428409
2176, 4.227390, 1.046186, 1.366039, 0.798300, 0.526425, 0.419807
2240, 4.220536, 1.029241, 1.359375, 0.791027, 0.517857, 0.407813
2304, 4.217839, 1.018273, 1.354340, 0.782899, 0.514800, 0.405295
2368, 4.212838, 1.014020, 1.348353, 0.778885, 0.504561, 0.402914
2432, 4.210485, 1.008799, 1.341488, 0.773890, 0.499630, 0.391118
2496, 4.197796, 1.013141, 1.337300, 0.767989, 0.491466, 0.383413
2560, 4.219727, 1.002539, 1.332188, 0.765781, 0.488242, 0.423672
2624, 4.196380, 1.000191, 1.329535, 0.758155, 0.482965, 0.380183
2688, 4.192485, 0.994717, 1.321615, 0.759524, 0.483333, 0.382999
2752, 4.183503, 0.988445, 1.318278, 0.748183, 0.472093, 0.366715
2816, 16.394886, 0.992756, 1.310973, 0.749716, 0.476811, 0.363530
2880, 4.350000, 0.983785, 1.314062, 0.743125, 0.470243, 0.362500
2944, 4.347045, 0.980129, 1.309137, 0.742731, 0.458050, 0.350679
3008, 4.299867, 0.977593, 1.303457, 0.737533, 0.457945, 0.352859
3072, 4.299967, 0.976107, 1.320671, 0.735384, 0.456901, 0.346452
3136, 4.300989, 0.980230, 1.302041, 0.732398, 0.459598, 0.349554
3200, 4.312844, 8.697281, 1.297750, 0.730438, 0.453125, 0.387875
