
size, c4, c6_5,  c8,  c8_2, c8_4, c8_8
64, 10.920312, 10.285937, 15.632812, 14.907813, 14.545312, 15.406250
128, 5.664062, 4.395313, 8.813281, 5.256250, 5.369531, 5.754688
192, 4.591667, 3.051042, 5.784896, 3.051042, 3.186979, 3.791146
256, 4.055469, 2.616797, 4.440625, 2.333594, 2.378906, 2.843359
320, 3.688438, 2.147812, 74.847187, 1.857813, 1.930312, 2.274687
384, 3.496615, 1.918229, 1.691667, 1.578385, 1.623698, 1.880469
448, 3.333705, 1.747768, 1.527679, 1.365848, 1.404687, 1.611830
512, 3.228516, 1.636914, 1.353711, 1.200781, 1.246094, 1.433008
576, 3.111458, 1.550694, 1.218403, 1.072396, 1.107639, 1.278819
640, 3.058594, 1.454531, 1.137344, 0.974219, 1.019531, 1.169062
704, 2.998864, 1.400568, 1.058665, 0.939205, 0.939205, 1.058665
768, 2.949089, 1.355599, 1.008203, 0.849609, 0.872266, 0.981771
832, 2.910457, 1.314062, 0.948077, 0.798197, 0.808654, 0.923678
896, 2.870871, 1.291406, 0.912723, 0.750893, 0.822098, 0.925670
960, 2.848646, 1.253646, 0.876042, 0.712917, 0.718958, 0.809583
1024, 2.823535, 1.217773, 0.835449, 0.679688, 0.676855, 0.767480
1088, 2.790717, 1.191452, 0.812960, 0.647702, 0.655699, 0.725000
1152, 2.776649, 1.173090, 0.823177, 0.624306, 0.611719, 0.702344
1216, 2.754523, 1.166201, 0.765543, 0.600987, 0.593832, 0.665378
1280, 2.739141, 1.135078, 0.740859, 0.575469, 0.566406, 0.641172
1344, 2.725223, 1.119866, 0.729315, 0.558854, 0.543750, 0.608482
1408, 2.718750, 1.101918, 0.706463, 0.560227, 0.523153, 0.593182
1472, 2.695109, 1.089470, 0.681658, 0.533899, 0.504348, 0.567391
1536, 2.686654, 1.089388, 0.679688, 0.505990, 0.490885, 0.547526
1600, 2.677062, 1.073000, 0.657938, 0.502062, 0.476687, 0.532875
1664, 2.668209, 1.057873, 0.648317, 0.481010, 0.460096, 0.510637
1728, 2.660012, 1.050579, 0.642766, 0.473264, 0.446412, 0.503472
1792, 2.652400, 1.043806, 0.626283, 0.457980, 0.435324, 0.483873
1856, 2.640625, 1.064062, 0.617188, 0.454687, 0.425000, 0.478125
1920, 2.635677, 1.028594, 0.605677, 0.442552, 0.413854, 0.456146
1984, 2.632510, 1.021724, 0.597833, 0.431200, 0.404889, 0.448740
2048, 2.619629, 1.015283, 0.589062, 0.426221, 0.393652, 0.440381
2112, 2.617140, 1.005114, 0.579451, 0.414678, 0.385843, 0.427036
2176, 2.610800, 1.003539, 0.577068, 0.411811, 0.378493, 0.417142
2240, 2.604821, 0.994286, 0.572232, 0.403929, 0.371562, 0.414286
2304, 2.605469, 0.989323, 0.560113, 0.392708, 0.365017, 0.402778
2368, 2.592610, 0.983404, 0.557221, 0.393117, 2.165203, 0.399240
2432, 2.592352, 0.978988, 0.549712, 0.387541, 0.372039, 0.389926
2496, 2.585136, 0.980609, 0.544912, 0.376442, 0.349720, 0.383413
2560, 2.581680, 0.973086, 0.539219, 0.374961, 0.342109, 0.371562
2624, 2.578392, 0.964825, 0.539329, 0.370236, 0.335976, 0.362500
2688, 2.576339, 0.962351, 0.530804, 0.363579, 0.324740, 0.361421
2752, 2.570167, 0.962100, 0.525836, 0.360392, 0.322456, 0.358285
2816, 2.568395, 0.959801, 0.521094, 0.355291, 0.318217, 0.351172
2880, 2.561667, 0.953576, 0.521597, 0.351424, 0.312153, 0.343368
2944, 2.563111, 0.948607, 0.515183, 0.352649, 0.308322, 0.343784
3008, 2.556782, 0.946742, 0.514827, 0.343218, 0.304654, 0.340326
3072, 2.558268, 0.944010, 0.505046, 0.341732, 0.301139, 0.332292
3136, 2.553221, 0.947864, 0.504911, 0.339381, 0.295918, 0.325510
3200, 2.552906, 0.937969, 0.501156, 0.335313, 0.293625, 0.324437
