size, dot 4, dot 5, dot 6 by 2, dot 6 by 5, dot 8, dot 8 by 2, dot 8 by 4, dot 8 by 8
17, 40.501096, 35.225743, 34.715225, 35.736261, 55.816636, 45.095758, 50.371111, 56.156982
34, 14.890109, 15.400627, 14.890109, 15.145368, 34.034534, 19.484771, 17.953217, 20.761066
51, 10.664154, 9.756567, 9.472945, 10.380533, 21.668654, 11.912087, 11.798639, 14.464677
68, 8.593720, 7.700313, 7.827943, 7.445054, 15.826058, 8.763893, 8.551177, 11.614285
85, 7.249356, 6.364458, 6.024113, 5.887974, 282.078221, 7.011114, 7.215321, 8.917048
102, 6.466562, 5.587336, 5.473888, 5.105180, 5.785871, 5.842595, 5.814233, 7.686132
119, 5.907423, 5.178111, 4.862076, 4.473110, 4.886387, 5.226732, 5.153801, 7.001390
136, 5.466797, 4.530847, 4.360675, 4.296860, 4.296860, 4.424489, 4.424489, 5.658241
153, 5.105180, 4.027420, 3.951788, 3.705983, 3.705983, 3.932880, 4.197593, 5.199721
170, 4.849921, 3.845902, 3.658712, 3.454505, 3.437488, 4.203265, 3.539592, 4.713783
