size, c4, c6_5,  c8,  c8_2, c8_4, c8_8
64, 12.370312, 9.742188, 15.678125, 14.817187, 14.545312, 15.451562
128, 7.363281, 4.417969, 8.881250, 5.188281, 5.732031, 6.389062
192, 6.238021, 3.066146, 5.966146, 3.156771, 3.473958, 4.183854
256, 5.652734, 2.650781, 4.689844, 2.424219, 2.594141, 3.126562
320, 5.328750, 2.147812, 74.919687, 1.966562, 2.455938, 2.510312
384, 5.135417, 1.925781, 1.993750, 1.661458, 1.729427, 2.084375
448, 4.945536, 1.760714, 1.760714, 1.495313, 1.501786, 1.793080
512, 4.854102, 1.653906, 1.602930, 1.336719, 1.353711, 1.557617
576, 4.752778, 1.575868, 1.495312, 1.213368, 1.213368, 1.399653
640, 4.676250, 1.477187, 1.386562, 1.123750, 1.096562, 1.277813
704, 4.625994, 1.408807, 1.318182, 1.042187, 0.996875, 1.194602
768, 4.557682, 1.366927, 1.253646, 0.974219, 0.936458, 1.102604
832, 4.538221, 1.328005, 1.199038, 0.927163, 0.871394, 1.021274
896, 4.502121, 1.301116, 1.155469, 0.877121, 0.818862, 0.987165
960, 4.464792, 1.253646, 1.123750, 0.836771, 0.779375, 0.888125
1024, 4.434961, 1.226270, 1.073340, 0.812793, 0.747656, 2.075879
1088, 4.413971, 1.196783, 1.050184, 0.783640, 0.695680, 0.818290
1152, 4.395312, 1.185677, 1.029601, 0.747656, 0.669618, 0.762760
1216, 4.378618, 1.170970, 1.001645, 0.725000, 0.636760, 0.732155
1280, 4.356797, 1.139609, 0.976484, 0.704609, 0.616250, 0.747656
1344, 4.345685, 1.137128, 0.958036, 0.684003, 0.595536, 0.671057
1408, 4.325284, 1.112216, 0.943324, 0.663210, 0.574645, 0.636435
1472, 4.320448, 1.097351, 0.922011, 0.650136, 0.553601, 0.614674
1536, 4.302799, 1.098828, 0.915690, 0.638151, 0.530534, 0.600391
1600, 4.295625, 1.074812, 0.893563, 0.616250, 0.522000, 0.558250
1664, 4.283774, 1.063101, 0.887079, 0.606490, 0.501923, 0.548978
1728, 4.279514, 1.055613, 0.876042, 0.594097, 0.488368, 0.532002
1792, 4.267467, 1.048661, 0.859319, 0.585826, 0.479018, 0.516239
1856, 4.260937, 1.048437, 0.851562, 0.575000, 0.470312, 0.503125
1920, 4.248802, 1.033125, 0.836771, 0.563385, 0.457656, 0.483333
1984, 4.244758, 1.021724, 0.833165, 0.553982, 0.450202, 0.469204
2048, 4.233887, 1.016699, 0.826953, 0.546582, 0.438965, 0.455957
2112, 4.233286, 1.010606, 0.816998, 0.538258, 0.431155, 0.444886
2176, 4.223392, 1.010202, 0.816958, 0.529090, 0.421140, 0.431801
2240, 4.220536, 0.999464, 0.801384, 0.524330, 0.411696, 0.427232
2304, 4.212804, 0.993099, 0.796745, 0.517318, 0.406554, 0.414106
2368, 4.209164, 0.989527, 0.791132, 0.511909, 0.393117, 0.401689
2432, 4.206908, 0.987336, 0.787007, 0.503207, 0.392311, 0.398273
2496, 4.202444, 0.981771, 0.780769, 0.497276, 0.385737, 0.388061
2560, 4.193672, 0.975352, 0.775977, 0.496172, 0.379492, 0.379492
2624, 4.212957, 0.969245, 0.770312, 0.486280, 0.393445, 0.371341
2688, 4.189249, 0.968824, 0.762760, 0.482254, 0.366815, 0.366815
2752, 4.185610, 0.961047, 0.758721, 0.476308, 0.361446, 0.357231
2816, 4.183168, 0.962891, 0.754865, 0.479901, 0.359411, 0.352202
2880, 4.180833, 0.954583, 0.769306, 0.473264, 0.353438, 0.345382
2944, 4.174660, 0.951562, 0.745686, 0.464946, 0.348709, 0.340829
3008, 4.173570, 0.950598, 0.741390, 0.465658, 0.345146, 0.335505
3072, 4.167806, 0.948730, 0.741048, 0.458789, 0.337012, 0.328516
3136, 4.169675, 0.950638, 0.734247, 0.454974, 0.334758, 0.321811
3200, 4.166937, 0.940687, 0.730438, 0.452219, 0.329875, 0.319000
