size, c4, c6_5,  c8,  c8_2, c8_4, c8_8
64, 10.784375, 9.470313, 13.593750, 50.025000, 24.242188, 18.985937
128, 4.463281, 4.191406, 6.207813, 5.732031, 7.272656, 10.942969
192, 3.489062, 2.779167, 4.636979, 4.183854, 4.803125, 4.576562
256, 2.707422, 2.480859, 4.066797, 3.319141, 3.942187, 3.749609
320, 2.365312, 1.885000, 3.643125, 2.854687, 3.362187, 3.235313
384, 2.190104, 1.676562, 3.428646, 2.552604, 2.967969, 2.907552
448, 2.032589, 1.482366, 3.249554, 2.388616, 2.673437, 2.654018
512, 1.863477, 1.387695, 3.109570, 2.271289, 2.492188, 2.537500
576, 1.782292, 1.349306, 3.015799, 2.164931, 2.346181, 2.346181
640, 1.721875, 1.205313, 2.949844, 2.111562, 2.215781, 2.301875
704, 1.643608, 1.153409, 2.854688, 2.030824, 2.154403, 2.179119
768, 1.578385, 1.106380, 2.805599, 1.955990, 2.065495, 2.118359
832, 1.554567, 1.049159, 2.764062, 1.892668, 2.000721, 2.091346
896, 1.501786, 1.068080, 2.738170, 1.848103, 1.935491, 1.987277
960, 1.489271, 0.987812, 2.691563, 1.827604, 1.881979, 1.894062
1024, 1.447168, 0.957227, 2.670605, 25.998047, 1.849316, 1.866309
1088, 1.412684, 0.943566, 2.649449, 1.729871, 1.817831, 1.799173
1152, 1.397135, 0.918837, 2.623090, 1.696701, 1.777257, 1.769705
1216, 1.364145, 0.901480, 2.594737, 1.657484, 1.791036, 1.729030
1280, 1.350312, 0.881328, 2.607734, 1.651641, 1.721875, 1.708281
1344, 1.335640, 0.865253, 2.578497, 1.629092, 1.700298, 1.702455
1408, 1.307884, 0.844460, 23.064063, 1.614773, 1.680682, 1.725994
1472, 1.308152, 0.833356, 2.618274, 1.627310, 1.666712, 1.672622
1536, 1.314062, 0.828841, 2.599805, 1.587826, 1.640690, 1.635026
1600, 1.301375, 0.806562, 2.579187, 1.587750, 1.618562, 1.625812
1664, 1.273978, 0.801683, 2.574099, 1.556310, 1.641707, 1.629507
1728, 1.282176, 0.790451, 2.557639, 1.557407, 1.592650, 1.597685
1792, 1.249330, 0.784877, 2.548828, 1.576228, 1.574609, 1.571373
1856, 1.260937, 0.804688, 2.548437, 1.529687, 1.557812, 1.587500
1920, 1.264219, 0.767292, 2.529948, 1.522500, 1.549688, 1.552708
1984, 1.245363, 0.755696, 2.511190, 1.520161, 1.536240, 1.547933
2048, 1.239014, 0.751904, 2.514844, 1.517969, 1.532129, 1.530713
2112, 1.220691, 0.748343, 2.512784, 1.504924, 1.521402, 1.521402
2176, 1.242096, 0.743658, 2.505515, 1.493980, 1.513971, 1.505974
2240, 1.206607, 0.737946, 2.493482, 1.484955, 1.500491, 1.497902
2304, 1.212109, 0.731293, 2.518620, 1.483984, 1.504123, 1.512934
2368, 1.198944, 0.723775, 2.520355, 1.475718, 1.486740, 1.491639
2432, 1.205551, 0.722615, 2.477878, 1.473849, 1.482196, 1.478618
2496, 1.199038, 0.718029, 2.478245, 1.468590, 1.470913, 1.476723
2560, 1.195117, 0.712539, 2.469531, 1.468125, 1.465859, 1.471523
2624, 1.188072, 0.699581, 2.465663, 1.461052, 1.483155, 1.451105
2688, 1.193229, 0.692634, 11.733780, 1.459710, 1.455394, 1.444606
2752, 1.179179, 0.695494, 2.395240, 1.448946, 1.451054, 1.454215
2816, 1.181214, 0.698224, 2.390234, 1.454119, 1.442791, 1.461328
2880, 1.177118, 0.691771, 12.345139, 1.442951, 1.441944, 1.442951
2944, 1.170245, 0.688553, 2.452785, 1.444090, 1.437194, 1.435224
3008, 1.161735, 0.683544, 2.445911, 1.436503, 1.431682, 1.426862
3072, 1.175293, 0.682520, 2.441211, 1.438672, 1.424512, 1.434896
3136, 1.169802, 0.682462, 2.443176, 1.436129, 1.422258, 1.426881
3200, 1.163625, 0.674250, 2.431469, 1.426437, 1.417375, 1.414656
