size, c4, c6_5,  c8,  c8_2, c8_4, c8_8
64, 10.739062, 9.651562, 13.412500, 49.843750, 22.837500, 19.212500
128, 5.641406, 4.100781, 6.525000, 6.049219, 6.864844, 11.758594
192, 4.667187, 3.005729, 5.029687, 4.214062, 4.908854, 4.561458
256, 4.066797, 2.571484, 4.406641, 3.341797, 3.953516, 3.851562
320, 3.679375, 2.120625, 4.041875, 2.936250, 3.461875, 3.688438
384, 3.473958, 1.888021, 3.821354, 2.605469, 3.096354, 3.051042
448, 3.320759, 1.728348, 3.644420, 2.433929, 2.802902, 2.828795
512, 3.217188, 1.614258, 3.511719, 2.378906, 2.616797, 2.639453
576, 3.121528, 1.525521, 3.423611, 2.180035, 2.467014, 2.502257
640, 3.054062, 1.454531, 3.348594, 2.111562, 2.365312, 2.378906
704, 3.002983, 1.396449, 3.278977, 2.039062, 2.253267, 2.282102
768, 2.945312, 1.344271, 3.217187, 1.986198, 2.178776, 2.220312
832, 2.906971, 1.310577, 3.178846, 1.924038, 2.105288, 2.154087
896, 2.877344, 1.262277, 3.129799, 1.886942, 2.068192, 2.100558
960, 2.848646, 1.241562, 3.099375, 1.857813, 2.011875, 2.069271
1024, 2.815039, 1.206445, 3.075586, 1.809668, 1.971094, 2.084375
1088, 2.790717, 1.178125, 3.049265, 1.788511, 1.924449, 1.956434
1152, 2.769097, 1.263715, 3.015799, 1.787326, 1.908160, 1.915712
1216, 2.752138, 1.151891, 2.993010, 1.733799, 1.872122, 1.895970
1280, 2.736875, 1.130547, 2.986094, 1.717344, 1.844219, 1.835156
1344, 2.723065, 1.115551, 2.966890, 1.713244, 1.803869, 1.823289
1408, 2.712571, 1.103977, 2.949432, 1.682741, 1.787784, 1.787784
1472, 2.699049, 1.093410, 2.937432, 1.672622, 1.769158, 1.747486
1536, 2.684766, 1.070508, 2.924544, 1.665234, 1.755859, 1.746419
1600, 2.675250, 1.067562, 2.943500, 1.638500, 1.732750, 1.723688
1664, 2.666466, 1.050901, 2.901743, 1.627764, 1.721875, 1.713161
1728, 2.654977, 1.043866, 2.894965, 1.636285, 1.700058, 1.686632
1792, 2.644308, 1.042188, 2.882199, 1.621540, 1.687891, 1.681417
1856, 2.640625, 1.035937, 2.871875, 1.610938, 1.673438, 1.675000
1920, 2.629635, 1.022552, 2.863750, 1.607083, 1.659948, 1.658438
1984, 2.625202, 1.017339, 2.853226, 1.590323, 1.651714, 1.619556
2048, 2.619629, 1.011035, 2.851855, 1.604346, 1.645410, 1.628418
2112, 2.611648, 1.005114, 2.842330, 1.568087, 1.629877, 1.627131
2176, 2.608134, 0.996875, 2.838695, 1.568612, 1.619256, 1.600597
2240, 2.626830, 0.994286, 2.830089, 1.578170, 1.610536, 1.596295
2304, 2.599175, 0.986806, 2.824479, 1.563281, 1.607335, 1.592231
2368, 2.596284, 0.980954, 2.819172, 1.541850, 1.599409, 1.566343
2432, 2.589967, 0.980181, 2.814145, 1.550164, 1.593092, 1.585938
2496, 2.583974, 0.978285, 2.808213, 1.563862, 1.581290, 1.570833
2560, 2.579414, 0.970820, 2.805977, 1.548555, 1.575742, 1.553086
2624, 2.579497, 0.965930, 2.802744, 1.529573, 1.563834, 1.543941
2688, 2.570945, 0.963430, 2.797507, 1.536310, 1.562202, 1.543862
2752, 2.569113, 0.957885, 2.792515, 1.523765, 1.552217, 1.530087
2816, 2.564276, 0.954652, 2.785689, 1.522088, 1.544744, 1.527237
2880, 2.561667, 0.955590, 2.784201, 1.511424, 1.544653, 1.526528
2944, 2.560156, 0.944667, 2.780808, 1.530774, 1.541610, 1.519939
3008, 2.556782, 0.945778, 2.778524, 1.521343, 1.536769, 1.505918
3072, 2.554492, 0.977051, 2.773503, 1.520801, 1.530241, 1.506641
3136, 2.568017, 0.939541, 2.772385, 1.503635, 1.525829, 1.511958
3200, 2.549281, 0.937063, 2.767688, 1.499844, 1.522500, 1.501656
