size, dot 128, dot 256, dp intrin 128, dp intrin 256
64, 18.593750, 9.968750, 7.906250, 7.843750
128, 5.656250, 5.703125, 3.906250, 3.718750
192, 5.416667, 3.895833, 2.885417, 2.656250
256, 1.726562, 3.046875, 2.460938, 2.085938
320, 1.268750, 52.656250, 2.175000, 1.775000
384, 1.145833, 1.130208, 1.989583, 1.578125
448, 1.031250, 0.991071, 1.861607, 1.441964
512, 0.945312, 0.894531, 1.800781, 1.324219
576, 0.906250, 0.822917, 1.739583, 1.267361
640, 0.843750, 0.762500, 1.678125, 1.193750
704, 0.801136, 0.704545, 1.639205, 1.139205
768, 0.757812, 0.661458, 1.611979, 1.096354
832, 0.747596, 0.629808, 1.574519, 1.052885
896, 0.714286, 0.602679, 1.542411, 1.024554
960, 0.693750, 0.581250, 1.541667, 0.991667
1024, 0.669922, 0.558594, 1.505859, 0.972656
1088, 0.818015, 0.538603, 1.492647, 0.948529
1152, 0.967014, 0.524306, 1.482639, 0.937500
1216, 0.769737, 0.500000, 1.465461, 0.909539
1280, 0.625000, 0.489063, 1.454687, 0.895312
1344, 0.608631, 0.474702, 1.441964, 0.882440
1408, 0.605114, 0.463068, 1.428977, 0.875000
1472, 0.596467, 0.453804, 1.421196, 0.861413
1536, 0.584635, 0.450521, 1.414062, 0.850260
1600, 0.582500, 0.437500, 1.406250, 0.840000
1664, 0.575721, 0.427885, 1.393029, 0.828125
1728, 0.574074, 0.424769, 1.391204, 0.821759
1792, 0.564732, 0.416295, 1.383929, 0.816964
1856, 0.557112, 0.408405, 1.376078, 0.804957
1920, 0.548958, 0.403125, 1.366667, 0.802083
1984, 0.563508, 0.394153, 1.362903, 0.793347
2048, 0.543945, 0.390625, 1.359375, 0.792969
2112, 0.604167, 0.389205, 1.356061, 0.785985
2176, 0.598346, 0.381434, 1.355699, 0.778493
2240, 0.591964, 0.381250, 1.347321, 0.772321
2304, 0.525174, 0.372396, 1.343750, 0.768229
2368, 0.520270, 0.369088, 1.341216, 0.766047
2432, 0.518092, 0.365954, 1.337171, 0.760691
2496, 0.519231, 0.362179, 1.332532, 0.755609
2560, 0.517969, 0.359375, 1.333594, 0.751563
2624, 0.513720, 0.355945, 1.329268, 0.746951
2688, 0.508185, 0.353423, 1.325149, 0.743304
2752, 0.503634, 0.350291, 1.323401, 0.744186
2816, 0.508523, 0.360795, 1.323153, 0.737926
2880, 0.504167, 0.343056, 1.322917, 0.735417
2944, 0.505435, 0.343750, 1.319293, 0.735734
3008, 0.501995, 0.339096, 1.318484, 0.733378
3072, 0.503255, 0.339844, 1.319661, 0.729818
3136, 0.544643, 0.343112, 1.316327, 0.730230
3200, 0.537500, 0.339375, 1.315625, 0.729375
