size,   ij,        ji,     ij_blk,   intrins,   intr2
8, 20.114939, 16.046749, 18.758876, 16.137154, 17.448015
16, 6.452601, 5.706767, 5.266046, 3.864781, 4.226397
24, 3.309799, 4.660840, 3.189260, 2.375622, 1.963781
32, 2.751679, 3.938234, 2.881635, 2.195128, 1.932390
40, 2.838693, 3.117138, 2.827844, 1.820741, 1.394033
48, 2.407012, 2.562709, 3.017241, 1.821896, 1.382431
56, 2.264718, 2.717662, 2.642017, 1.368978, 1.269349
64, 3.097051, 2.580052, 2.728371, 1.668947, 1.529103
72, 2.353858, 2.380086, 2.467142, 1.247801, 1.161304
80, 2.227560, 2.297171, 2.431422, 1.147682, 1.158078
88, 2.063234, 2.264588, 5.602820, 1.285458, 1.223819
96, 2.033781, 1.994857, 2.240644, 1.204448, 1.185300
104, 1.982474, 2.108719, 2.295144, 1.231156, 1.142624
112, 1.950840, 2.092212, 2.195762, 1.164646, 1.140661
120, 1.848867, 2.058203, 2.226355, 1.128847, 1.086056
128, 8.124903, 2.860799, 2.673811, 2.102075, 2.112139
136, 1.915850, 1.976380, 2.302649, 1.266754, 1.184796
144, 2.099387, 2.120035, 2.452215, 1.358296, 1.333881
152, 2.063270, 2.060390, 2.441540, 1.316997, 1.270542
160, 5.536016, 3.021083, 2.582397, 1.785031, 1.786839
168, 2.136902, 2.117529, 2.635150, 1.388043, 1.373693
176, 2.482007, 2.113479, 2.703815, 1.442732, 1.398931
184, 2.120483, 2.116382, 2.683416, 1.402462, 1.367086
192, 5.641396, 3.132600, 2.828271, 1.878948, 1.906022
200, 2.167315, 2.194219, 2.690285, 1.384848, 1.373710
208, 2.496681, 2.149307, 2.754186, 1.548373, 1.582876
216, 2.234497, 2.174724, 2.709460, 1.415093, 1.382354
224, 5.602294, 3.036671, 2.847156, 1.879405, 1.874734
232, 2.241724, 2.193028, 2.688746, 1.396321, 1.381110
240, 3.792909, 2.231829, 2.797358, 1.740231, 1.739628
248, 2.255026, 2.056908, 2.698251, 1.387390, 1.362225
256, 9.700223, 5.037166, 4.224720, 2.650327, 2.636775
264, 2.324899, 1.997236, 2.680166, 1.356893, 1.334272
272, 5.104202, 2.666416, 2.833734, 1.831311, 1.823921
280, 2.335270, 2.003210, 2.699175, 1.406173, 1.403664
