length, serial, threads = 2, threads = 4
15, 27112, 783223, 399475
20, 2668, 237162, 287073
25, 4071, 135751, 254022
30, 5843, 183691, 253001
35, 7896, 233824, 225506
40, 10251, 207193, 124552
45, 12925, 206845, 122919
50, 15958, 207495, 270514
55, 19264, 236651, 122191
60, 22811, 103303, 113767
65, 55825, 77769, 185072
70, 31209, 181435, 148952
75, 35641, 215551, 114155
80, 40881, 218921, 135775
85, 46150, 231040, 129395
90, 51686, 226565, 275821
95, 57199, 227412, 200842
100, 63846, 152354, 143494
105, 70209, 140006, 289956
110, 77200, 116861, 219324
115, 84311, 193633, 193496
120, 91735, 152505, 217607
125, 99870, 158105, 192096
130, 107433, 204574, 164917
135, 115814, 162840, 253932
140, 127269, 199395, 199093
145, 133858, 191228, 201271
150, 142897, 175441, 188726
155, 152812, 201529, 189343
160, 165671, 183848, 218268
165, 172967, 210766, 254463
170, 183935, 194830, 187026
175, 194215, 226150, 249498
180, 205891, 227194, 231933
185, 217511, 228902, 241804
190, 229178, 237797, 351395
195, 241671, 242686, 240096
200, 309247, 342788, 203991
205, 266985, 278330, 255272
210, 310508, 260495, 295628
215, 293381, 323361, 336014
220, 363358, 306544, 449833
225, 322082, 280180, 323463
230, 345039, 318112, 419949
235, 350810, 351830, 491231
240, 366032, 302786, 405776
245, 436409, 306640, 487011
250, 397610, 328923, 259239
255, 413308, 335692, 400797
260, 432250, 374392, 400365
265, 446162, 356363, 298279
270, 462442, 360455, 421604
275, 480535, 373667, 409671
280, 498336, 376037, 315769
285, 570563, 392816, 396154
290, 592409, 449346, 453441
295, 585373, 457228, 321369
300, 629465, 421007, 496123
305, 620196, 416895, 474605
310, 668157, 481286, 332615
315, 686009, 432474, 472946
320, 705831, 443685, 485387
325, 670677, 526599, 309693
330, 691351, 517510, 490500
335, 769184, 478088, 522568
340, 796226, 499878, 426746
345, 755339, 488612, 597455
350, 777107, 559099, 577137
355, 913334, 520303, 375170
360, 822599, 522771, 581829
365, 904565, 538324, 392152
370, 869530, 601961, 610418
375, 986290, 550733, 365330
380, 916353, 580504, 667371
385, 996384, 584866, 434492
390, 1081230, 644704, 766797
395, 991193, 652192, 483572
400, 1071245, 668220, 776379
405, 1130301, 596506, 458890
410, 1124831, 640450, 729118
415, 1149702, 643379, 416521
420, 1175903, 656473, 772235
425, 1146868, 682416, 512131
430, 1203908, 681955, 784342
435, 1257283, 702058, 528574
440, 1287724, 761832, 816379
445, 1371772, 716848, 550637
450, 1341383, 724121, 824475
455, 1314140, 762679, 551411
460, 1402799, 766203, 861285
465, 1431448, 777513, 540119
470, 1403455, 766211, 902314
475, 1549939, 796572, 590390
480, 1463569, 882107, 591924
485, 1606211, 849758, 570169
490, 1582863, 919819, 956997
495, 1612205, 875083, 581925
500, 1699690, 908001, 965708
505, 1732738, 978538, 638678
510, 1711133, 977772, 1005557
515, 1739840, 991959, 642060
520, 1746293, 995610, 1047250
525, 1780260, 995839, 583993
530, 1839780, 958220, 595497
535, 1876906, 990750, 674464
540, 1964973, 1029566, 1114725
545, 2005512, 1023099, 702571
550, 1922320, 1128427, 736060
555, 2070214, 1060329, 701776
560, 2055334, 1133850, 726467
565, 2086355, 1136713, 758245
570, 2121373, 1167972, 717877
575, 2214846, 1192395, 704447
580, 2193638, 1136437, 951782
585, 2235111, 1201652, 782898
590, 2327870, 1187431, 844523
595, 2366147, 1241745, 821607
600, 2409441, 1204172, 862752
605, 2439511, 1235284, 904356
610, 2484026, 1250250, 1469203
615, 2580553, 1346180, 903193
620, 2561236, 1306563, 971244
625, 2575121, 1298002, 1542918
630, 2646461, 1387252, 1136518
635, 2688053, 1374498, 1136266
640, 2726783, 1467661, 1477605
645, 2770065, 1442868, 1326848
650, 2807585, 1458172, 1406772
655, 2858037, 1556099, 1579557
660, 2900342, 1536675, 1670269
665, 2943769, 1642641, 1676843
670, 2991654, 1709239, 2081898
675, 3039318, 1727411, 1726251
680, 3080374, 1759743, 1888755
685, 3120220, 1907364, 1983191
690, 3165924, 1962528, 2113018
695, 3216758, 2099823, 2173216
700, 3257013, 2168704, 2307988
705, 3374619, 2178172, 2408148
710, 3357747, 2321963, 2458617
715, 3470427, 2370886, 2541467
720, 3457174, 2460513, 2668350
725, 3553952, 2541168, 2724329
730, 3555669, 2643091, 2815044
735, 3599561, 2706491, 2871304
740, 3647707, 2812956, 2971699
745, 3694080, 2899422, 3058032
750, 3799829, 3047995, 3119532
755, 3876079, 3135448, 3232467
760, 3850828, 3156365, 3298317
765, 3942242, 3278916, 3501268
770, 3996948, 3312762, 3421327
775, 4043574, 3391909, 3531762
780, 4045439, 3267044, 3665762
785, 4149949, 3254591, 3742041
790, 4227538, 3336386, 3840165
795, 4359364, 3516403, 3907126
800, 4403496, 3479043, 3999572
805, 4355985, 3561478, 4099039
810, 4345061, 3630675, 4195969
815, 4460626, 3775365, 4315075
820, 4574834, 3924065, 4487857
825, 4508850, 4023871, 4394355
830, 4673286, 4086050, 4462665
835, 4765068, 4160110, 4543476
840, 4682224, 4216591, 4654975
845, 4786409, 4347958, 4734658
850, 4842486, 4444600, 4764337
855, 4899216, 4469552, 4828810
860, 4945642, 4579561, 4978348
865, 5005278, 4688151, 5001882
870, 5118349, 4734560, 5070763
875, 5129293, 4799995, 5120605
880, 5238522, 4866432, 5246761
885, 5235277, 4984401, 5300947
890, 5374659, 4996891, 5351825
895, 5425923, 5150649, 5448757
900, 5492344, 5159355, 5538855
905, 5561237, 5248588, 5560117
910, 5619167, 5623491, 5618680
915, 5682558, 5758170, 5791511
920, 5725716, 5888125, 5729965
925, 5821544, 5901862, 5833964
930, 5881017, 6063148, 5886045
935, 5952281, 6095225, 5967927
940, 6075514, 6162413, 6120044
945, 6113661, 6224548, 6073165
950, 6233141, 6307366, 6156169
955, 6248856, 6411633, 6238897
960, 6375867, 6412955, 6325184
965, 6385127, 6521725, 6386168
970, 6507945, 6714132, 6459312
975, 6533766, 6674236, 6527407
980, 6659913, 6725146, 6650494
985, 6687890, 6767152, 6670954
990, 6778848, 6843170, 6731601
995, 6836030, 6882456, 6812390
1000, 7006713, 7015529, 6913292
1005, 7130868, 7165885, 7020279
1010, 7140339, 7131993, 7024481
1015, 7159404, 7125732, 7118119
1020, 7327543, 7345320, 7147827
1025, 7346549, 7291504, 7341758
1030, 7378754, 7428263, 7263540
1035, 7504559, 7501954, 7362575
1040, 7598107, 7503277, 7524859
1045, 7647856, 7615060, 7474677
1050, 7739032, 7623021, 7667994
1055, 7904051, 7750351, 7657850
1060, 7871374, 7846251, 7810744
1065, 8026031, 7918484, 7792923
1070, 8100149, 7978703, 7849111
1075, 8125800, 8102130, 7887333
1080, 8197679, 8169679, 8011215
1085, 8270794, 8073083, 8058195
1090, 8389099, 8308294, 8140650
1095, 8530927, 8397416, 8222784
1100, 8548260, 8433362, 8242733
1105, 8633923, 8492940, 8393296
1110, 8860938, 8617300, 8349178
1115, 8780825, 8599013, 8471741
1120, 8873834, 8683652, 8578765
1125, 8997310, 8710477, 8680694
1130, 9025890, 8880475, 8731760
1135, 9109764, 8920620, 8772790
1140, 9232579, 9064298, 8800351
1145, 9258731, 9066299, 8965918
1150, 9349469, 9136757, 8998247
1155, 9489017, 9366147, 9083182
1160, 9572601, 9314153, 9152866
1165, 9645005, 9458611, 9204214
1170, 9662884, 9434111, 9314982
1175, 9747007, 9527486, 9418991
1180, 9946408, 9624058, 9420658
1185, 9959745, 9660050, 9517907
1190, 9973375, 9733513, 9607389
1195, 10195092, 9797586, 9703104
1200, 10122055, 9819913, 9742022
1205, 10237292, 9962503, 9872182
1210, 10468512, 10031015, 9874729
1215, 10471343, 10079947, 9967102
1220, 10562759, 10150832, 10019517
1225, 10549237, 10285641, 10146824
1230, 10719533, 10346388, 10263729
1235, 10773021, 10406731, 10273754
1240, 10844486, 10488879, 10295649
1245, 10974960, 10638368, 10435542
1250, 11079557, 10678098, 10477911
1255, 11095771, 10749740, 10476777
1260, 11254514, 10887029, 10563047
1265, 11351113, 10928371, 10666463
1270, 11410688, 10976705, 10704973
1275, 11490275, 11117935, 10842090
1280, 11614415, 11116013, 10882139
1285, 11681704, 11247983, 10993995
1290, 11847271, 11302042, 11067655
1295, 11865309, 11474227, 11126479
1300, 11940999, 11495336, 11193994
1305, 12005196, 11520690, 11294174
1310, 12102949, 11687881, 11391115
1315, 12223326, 11729224, 11480827
1320, 12323106, 11798278, 11602676
1325, 12358306, 11862020, 11704382
1330, 12531625, 11931789, 11608415
1335, 12601297, 12070745, 11767379
1340, 12678608, 12187937, 11814194
1345, 12778403, 12165299, 11951375
1350, 12825893, 12238026, 12090227
1355, 12976305, 12351514, 12120579
1360, 12994775, 12433903, 12312347
1365, 13192587, 12391891, 12303322
1370, 13279071, 12563061, 12455465
1375, 13534114, 12662499, 12503611
1380, 13494340, 12757053, 12594021
1385, 13524228, 12970128, 12764242
1390, 13700501, 12969777, 12815207
1395, 13769809, 13033064, 12884929
1400, 13796581, 13148979, 12978851
